,company,name,ticker,date,brand,sales,transactions
4410173,Lyft,Lyft,LYFT,2014-11-07,Lyft Scooters,0,0.0
4408320,Lyft,Lyft,LYFT,2014-11-07,Lyft Rides,31084,2573.0
4412026,Lyft,Lyft,LYFT,2014-11-07,Motivate,0,0.0
4408321,Lyft,Lyft,LYFT,2014-11-08,Lyft Rides,37163,3061.0
4412027,Lyft,Lyft,LYFT,2014-11-08,Motivate,0,0.0
4410174,Lyft,Lyft,LYFT,2014-11-08,Lyft Scooters,0,0.0
4408322,Lyft,Lyft,LYFT,2014-11-09,Lyft Rides,30927,2496.0
4412028,Lyft,Lyft,LYFT,2014-11-09,Motivate,0,0.0
4410175,Lyft,Lyft,LYFT,2014-11-09,Lyft Scooters,0,0.0
4408323,Lyft,Lyft,LYFT,2014-11-10,Lyft Rides,19078,1527.0
4412029,Lyft,Lyft,LYFT,2014-11-10,Motivate,0,0.0
4410176,Lyft,Lyft,LYFT,2014-11-10,Lyft Scooters,0,0.0
4408324,Lyft,Lyft,LYFT,2014-11-11,Lyft Rides,16131,1314.0
4410177,Lyft,Lyft,LYFT,2014-11-11,Lyft Scooters,0,0.0
4412030,Lyft,Lyft,LYFT,2014-11-11,Motivate,0,0.0
4410178,Lyft,Lyft,LYFT,2014-11-12,Lyft Scooters,0,0.0
4408325,Lyft,Lyft,LYFT,2014-11-12,Lyft Rides,16301,1333.0
4412031,Lyft,Lyft,LYFT,2014-11-12,Motivate,0,0.0
4410179,Lyft,Lyft,LYFT,2014-11-13,Lyft Scooters,0,0.0
4408326,Lyft,Lyft,LYFT,2014-11-13,Lyft Rides,21424,1752.0
4412032,Lyft,Lyft,LYFT,2014-11-13,Motivate,0,0.0
4410180,Lyft,Lyft,LYFT,2014-11-14,Lyft Scooters,0,0.0
4408327,Lyft,Lyft,LYFT,2014-11-14,Lyft Rides,29598,2418.0
4412033,Lyft,Lyft,LYFT,2014-11-14,Motivate,0,0.0
4408328,Lyft,Lyft,LYFT,2014-11-15,Lyft Rides,41147,3354.0
4412034,Lyft,Lyft,LYFT,2014-11-15,Motivate,0,0.0
4410181,Lyft,Lyft,LYFT,2014-11-15,Lyft Scooters,0,0.0
4412035,Lyft,Lyft,LYFT,2014-11-16,Motivate,0,0.0
4410182,Lyft,Lyft,LYFT,2014-11-16,Lyft Scooters,0,0.0
4408329,Lyft,Lyft,LYFT,2014-11-16,Lyft Rides,32285,2635.0
4412036,Lyft,Lyft,LYFT,2014-11-17,Motivate,0,0.0
4410183,Lyft,Lyft,LYFT,2014-11-17,Lyft Scooters,0,0.0
4408330,Lyft,Lyft,LYFT,2014-11-17,Lyft Rides,19378,1635.0
4410184,Lyft,Lyft,LYFT,2014-11-18,Lyft Scooters,0,0.0
4408331,Lyft,Lyft,LYFT,2014-11-18,Lyft Rides,17363,1404.0
4412037,Lyft,Lyft,LYFT,2014-11-18,Motivate,0,0.0
4408332,Lyft,Lyft,LYFT,2014-11-19,Lyft Rides,21488,1785.0
4412038,Lyft,Lyft,LYFT,2014-11-19,Motivate,0,0.0
4410185,Lyft,Lyft,LYFT,2014-11-19,Lyft Scooters,0,0.0
4408333,Lyft,Lyft,LYFT,2014-11-20,Lyft Rides,25422,2141.0
4412039,Lyft,Lyft,LYFT,2014-11-20,Motivate,0,0.0
4410186,Lyft,Lyft,LYFT,2014-11-20,Lyft Scooters,0,0.0
4408334,Lyft,Lyft,LYFT,2014-11-21,Lyft Rides,34238,2653.0
4412040,Lyft,Lyft,LYFT,2014-11-21,Motivate,0,0.0
4410187,Lyft,Lyft,LYFT,2014-11-21,Lyft Scooters,0,0.0
4412041,Lyft,Lyft,LYFT,2014-11-22,Motivate,0,0.0
4410188,Lyft,Lyft,LYFT,2014-11-22,Lyft Scooters,0,0.0
